sample_id,true_class,condition,classification,reference_id,justification,input_tokens,output_tokens,raw_response,citation_grade,correct,source_file,row_start,row_end,image_path,copied_image_path,pcap_slice_path
DDoS-TCP_Flood_0000,DDoS-TCP_Flood,naive,DDoS-TCP_Flood,CAPEC-125,"The traffic shows a sustained high packet rate (10k-70k pkt/s) dominated almost exclusively by TCP protocol (protocol mix panel near 100% TCP), consistent with a TCP-based flooding attack. The TCP flag panel shows sporadic spikes in ACK, SYN, and PSH flags rather than a clean SYN flood pattern, indicating a generic TCP flood rather than UDP-based Mirai traffic. CAPEC-125 (Flooding) covers resource exhaustion via high-volume packet flooding attacks such as this.",1343,242,"CLASSIFICATION: DDoS-TCP_Flood
REFERENCE_ID: CAPEC-125
JUSTIFICATION: The traffic shows a sustained high packet rate (10k-70k pkt/s) dominated almost exclusively by TCP protocol (protocol mix panel near 100% TCP), consistent with a TCP-based flooding attack. The TCP flag panel shows sporadic spikes in ACK, SYN, and PSH flags rather than a clean SYN flood pattern, indicating a generic TCP flood rather than UDP-based Mirai traffic. CAPEC-125 (Flooding) covers resource exhaustion via high-volume packet flooding attacks such as this.",real-but-generic,True,data/CSV/DDoS-TCP_Flood/DDoS-TCP_Flood.pcap.csv,51130.0,51160.0,results/viz/DDoS-TCP_Flood/DDoS-TCP_Flood_0000.png,results/naive/images/DDoS-TCP_Flood_0000.png,results/naive/pcap_slices/DDoS-TCP_Flood_0000.csv
DDoS-TCP_Flood_0001,DDoS-TCP_Flood,naive,DDoS-TCP_Flood,CAPEC-125,"The protocol mix panel shows near-constant TCP dominance (~100%) throughout the capture, with packet rates fluctuating wildly between 15,000-55,000 pkt/s in a sawtooth pattern typical of flooding attacks. The TCP flag panel shows sparse, low-fraction ACK/PSH/RST spikes rather than sustained SYN flooding, consistent with a generic TCP flood using varied flag combinations to overwhelm resources. CAPEC-125 (Flooding) captures this resource-exhaustion pattern via high-volume TCP traffic.",1343,247,"CLASSIFICATION: DDoS-TCP_Flood
REFERENCE_ID: CAPEC-125
JUSTIFICATION: The protocol mix panel shows near-constant TCP dominance (~100%) throughout the capture, with packet rates fluctuating wildly between 15,000-55,000 pkt/s in a sawtooth pattern typical of flooding attacks. The TCP flag panel shows sparse, low-fraction ACK/PSH/RST spikes rather than sustained SYN flooding, consistent with a generic TCP flood using varied flag combinations to overwhelm resources. CAPEC-125 (Flooding) captures this resource-exhaustion pattern via high-volume TCP traffic.",real-but-generic,True,data/CSV/DDoS-TCP_Flood/DDoS-TCP_Flood1.pcap.csv,259051.0,259081.0,results/viz/DDoS-TCP_Flood/DDoS-TCP_Flood_0001.png,results/naive/images/DDoS-TCP_Flood_0001.png,results/naive/pcap_slices/DDoS-TCP_Flood_0001.csv
DDoS-TCP_Flood_0002,DDoS-TCP_Flood,naive,DDoS-TCP_Flood,CAPEC-125,"The traffic shows highly volatile packet rates (5,000–60,000 pkt/s) dominated almost entirely by TCP protocol with consistently small, uniform packet sizes (~60 bytes avg, low std), characteristic of a TCP flood attack. The brief SYN flag spike and later ACK spike further support a TCP-based flooding pattern rather than UDP-based Mirai traffic. CAPEC-125 (Flooding) captures this resource-exhaustion attack pattern via high-volume TCP packet flooding.",1343,230,"CLASSIFICATION: DDoS-TCP_Flood
REFERENCE_ID: CAPEC-125
JUSTIFICATION: The traffic shows highly volatile packet rates (5,000–60,000 pkt/s) dominated almost entirely by TCP protocol with consistently small, uniform packet sizes (~60 bytes avg, low std), characteristic of a TCP flood attack. The brief SYN flag spike and later ACK spike further support a TCP-based flooding pattern rather than UDP-based Mirai traffic. CAPEC-125 (Flooding) captures this resource-exhaustion attack pattern via high-volume TCP packet flooding.",real-but-generic,True,data/CSV/DDoS-TCP_Flood/DDoS-TCP_Flood10.pcap.csv,182955.0,182985.0,results/viz/DDoS-TCP_Flood/DDoS-TCP_Flood_0002.png,results/naive/images/DDoS-TCP_Flood_0002.png,results/naive/pcap_slices/DDoS-TCP_Flood_0002.csv
DDoS-TCP_Flood_0003,DDoS-TCP_Flood,naive,DDoS-TCP_Flood,CAPEC-482,"The traffic shows highly variable packet rates (10,000-49,000 pkt/s) dominated almost entirely by TCP protocol (panel 3), with sporadic spikes in SYN, ACK, and RST flags (panel 2) rather than sustained connection establishment—consistent with a TCP-based flood attack exploiting the protocol's flag mechanisms. CAPEC-482 (TCP Flood) describes this exact pattern of overwhelming a target with TCP packets to exhaust resources, matching the near-constant small packet size (~60 bytes) typical of flood packets lacking substantial payload.",1343,255,"CLASSIFICATION: DDoS-TCP_Flood
REFERENCE_ID: CAPEC-482
JUSTIFICATION: The traffic shows highly variable packet rates (10,000-49,000 pkt/s) dominated almost entirely by TCP protocol (panel 3), with sporadic spikes in SYN, ACK, and RST flags (panel 2) rather than sustained connection establishment—consistent with a TCP-based flood attack exploiting the protocol's flag mechanisms. CAPEC-482 (TCP Flood) describes this exact pattern of overwhelming a target with TCP packets to exhaust resources, matching the near-constant small packet size (~60 bytes) typical of flood packets lacking substantial payload.",real-and-correct,True,data/CSV/DDoS-TCP_Flood/DDoS-TCP_Flood11.pcap.csv,229380.0,229410.0,results/viz/DDoS-TCP_Flood/DDoS-TCP_Flood_0003.png,results/naive/images/DDoS-TCP_Flood_0003.png,results/naive/pcap_slices/DDoS-TCP_Flood_0003.csv
DDoS-TCP_Flood_0004,DDoS-TCP_Flood,naive,DDoS-TCP_Flood,CAPEC-125,"The protocol mix panel shows nearly 100% TCP traffic throughout the capture, with consistent small packet sizes (~60 bytes) and high, volatile packet rates (10k-85k pkt/s), which are hallmark characteristics of a TCP flood attack. The TCP flag panel shows predominantly PSH/ACK flags with a brief SYN/ACK spike, consistent with flooding via established or half-open connections rather than legitimate application traffic. CAPEC-125 (Flooding) describes this resource exhaustion attack pattern via excessive TCP traffic.",1343,246,"CLASSIFICATION: DDoS-TCP_Flood
REFERENCE_ID: CAPEC-125
JUSTIFICATION: The protocol mix panel shows nearly 100% TCP traffic throughout the capture, with consistent small packet sizes (~60 bytes) and high, volatile packet rates (10k-85k pkt/s), which are hallmark characteristics of a TCP flood attack. The TCP flag panel shows predominantly PSH/ACK flags with a brief SYN/ACK spike, consistent with flooding via established or half-open connections rather than legitimate application traffic. CAPEC-125 (Flooding) describes this resource exhaustion attack pattern via excessive TCP traffic.",real-but-generic,True,,,,,,
Mirai-udpplain_0000,Mirai-udpplain,naive,Mirai-udpplain,CAPEC-486,"The protocol mix panel shows traffic is overwhelmingly UDP with only negligible TCP presence, consistent with a UDP flood rather than a TCP-based attack. TCP flag fractions are extremely low and sporadic (no sustained SYN flood pattern), and packet sizes are fairly uniform (~500-550 bytes) typical of Mirai's UDP plain flooding module. CAPEC-486 (UDP Flood) reflects this botnet-driven volumetric UDP flood behavior characteristic of Mirai malware.",1343,230,"CLASSIFICATION: Mirai-udpplain
REFERENCE_ID: CAPEC-486
JUSTIFICATION: The protocol mix panel shows traffic is overwhelmingly UDP with only negligible TCP presence, consistent with a UDP flood rather than a TCP-based attack. TCP flag fractions are extremely low and sporadic (no sustained SYN flood pattern), and packet sizes are fairly uniform (~500-550 bytes) typical of Mirai's UDP plain flooding module. CAPEC-486 (UDP Flood) reflects this botnet-driven volumetric UDP flood behavior characteristic of Mirai malware.",real-and-correct,True,data/CSV/Mirai-udpplain/Mirai-udpplain.pcap.csv,24657.0,24687.0,results/viz/Mirai-udpplain/Mirai-udpplain_0000.png,results/naive/images/Mirai-udpplain_0000.png,results/naive/pcap_slices/Mirai-udpplain_0000.csv
Mirai-udpplain_0001,Mirai-udpplain,naive,Mirai-udpplain,CAPEC-486,"The traffic is overwhelmingly UDP (protocol mix panel near 100% UDP) with a fluctuating packet rate typical of botnet-generated flood traffic, and TCP flag activity is nearly absent aside from sporadic noise spikes. Consistent average packet size (~550 bytes) with low variance further matches Mirai's characteristic UDP plain flood behavior rather than a TCP-based attack. CAPEC-486 (UDP Flood) reflects this botnet-driven volumetric UDP flood pattern.",1343,227,"CLASSIFICATION: Mirai-udpplain
REFERENCE_ID: CAPEC-486
JUSTIFICATION: The traffic is overwhelmingly UDP (protocol mix panel near 100% UDP) with a fluctuating packet rate typical of botnet-generated flood traffic, and TCP flag activity is nearly absent aside from sporadic noise spikes. Consistent average packet size (~550 bytes) with low variance further matches Mirai's characteristic UDP plain flood behavior rather than a TCP-based attack. CAPEC-486 (UDP Flood) reflects this botnet-driven volumetric UDP flood pattern.",real-and-correct,True,data/CSV/Mirai-udpplain/Mirai-udpplain1.pcap.csv,34827.0,34857.0,results/viz/Mirai-udpplain/Mirai-udpplain_0001.png,results/naive/images/Mirai-udpplain_0001.png,results/naive/pcap_slices/Mirai-udpplain_0001.csv
Mirai-udpplain_0002,Mirai-udpplain,naive,Mirai-udpplain,CAPEC-486,"The protocol mix panel shows near-constant UDP dominance (~100%) with negligible TCP/HTTP presence, and the TCP flag panel shows only sporadic, low-fraction flag activity rather than structured handshake patterns, consistent with connectionless UDP flooding rather than TCP-based attacks. The high, bursty packet rate combined with fairly consistent large average packet sizes matches Mirai's udpplain flooding module behavior, which is a botnet-driven denial-of-service technique (CAPEC-486: UDP Flood).",1343,232,"CLASSIFICATION: Mirai-udpplain
REFERENCE_ID: CAPEC-486
JUSTIFICATION: The protocol mix panel shows near-constant UDP dominance (~100%) with negligible TCP/HTTP presence, and the TCP flag panel shows only sporadic, low-fraction flag activity rather than structured handshake patterns, consistent with connectionless UDP flooding rather than TCP-based attacks. The high, bursty packet rate combined with fairly consistent large average packet sizes matches Mirai's udpplain flooding module behavior, which is a botnet-driven denial-of-service technique (CAPEC-486: UDP Flood).",real-and-correct,True,data/CSV/Mirai-udpplain/Mirai-udpplain10.pcap.csv,5514.0,5544.0,results/viz/Mirai-udpplain/Mirai-udpplain_0002.png,results/naive/images/Mirai-udpplain_0002.png,results/naive/pcap_slices/Mirai-udpplain_0002.csv
Mirai-udpplain_0003,Mirai-udpplain,naive,Mirai-udpplain,CAPEC-486,"The protocol mix panel shows near-constant UDP dominance (~99%) with negligible TCP, and the TCP flag panel shows essentially no SYN/ACK activity except brief anomalous spikes, consistent with a UDP flood rather than a TCP-based attack. The highly volatile packet rate with bursts up to ~13,000 pkt/s and stable average packet size (~500 bytes) matches Mirai's characteristic udpplain flooding behavior, which corresponds to CAPEC-486 (UDP Flood).",1343,226,"CLASSIFICATION: Mirai-udpplain
REFERENCE_ID: CAPEC-486
JUSTIFICATION: The protocol mix panel shows near-constant UDP dominance (~99%) with negligible TCP, and the TCP flag panel shows essentially no SYN/ACK activity except brief anomalous spikes, consistent with a UDP flood rather than a TCP-based attack. The highly volatile packet rate with bursts up to ~13,000 pkt/s and stable average packet size (~500 bytes) matches Mirai's characteristic udpplain flooding behavior, which corresponds to CAPEC-486 (UDP Flood).",real-and-correct,True,data/CSV/Mirai-udpplain/Mirai-udpplain11.pcap.csv,20354.0,20384.0,results/viz/Mirai-udpplain/Mirai-udpplain_0003.png,results/naive/images/Mirai-udpplain_0003.png,results/naive/pcap_slices/Mirai-udpplain_0003.csv
Mirai-udpplain_0004,Mirai-udpplain,naive,Mirai-udpplain,CAPEC-486,"The protocol mix panel shows near-constant UDP dominance (~100%) with negligible TCP/other protocols, and the TCP flag panel shows essentially zero flag activity except a brief negligible spike, indicating this is not a TCP-based flood. Combined with highly volatile packet rates (2k-15k pkt/s) and stable average packet size (~550 bytes) typical of Mirai's UDP flood payloads, this matches Mirai-udpplain behavior. CAPEC-486 (UDP Flood) captures this botnet-driven UDP flood pattern used for DDoS.",1343,246,"CLASSIFICATION: Mirai-udpplain
REFERENCE_ID: CAPEC-486
JUSTIFICATION: The protocol mix panel shows near-constant UDP dominance (~100%) with negligible TCP/other protocols, and the TCP flag panel shows essentially zero flag activity except a brief negligible spike, indicating this is not a TCP-based flood. Combined with highly volatile packet rates (2k-15k pkt/s) and stable average packet size (~550 bytes) typical of Mirai's UDP flood payloads, this matches Mirai-udpplain behavior. CAPEC-486 (UDP Flood) captures this botnet-driven UDP flood pattern used for DDoS.",real-and-correct,True,,,,,,
